TS_LOAD;SYS_DESC;VEH_SER_NO;OPR_NAME
2017-03-09 07:44:56.000000;U-BOLT;YCR723;Front U-Bolt
2017-03-09 07:45:51.260000;Assembly Line Tracker;SEK173;Pool 13 Start
2017-03-09 07:47:36.680000;Cab Conveyer;GSF615;Cab Upload 2
2017-03-09 07:47:36.680000;Cab Conveyor / Monorail;GSF615;Cab Upload
2017-03-09 07:48:04.300000;OMT Offline Tracking;WRT608;Enter Offline
2017-03-09 07:48:39.753000;Hood Conveyor;QRM025;Hood Upload
2017-03-09 07:49:21.187000;Cab in white conveyer;MUJ483;CIW upload
2017-03-09 07:49:32.070800;Paint Inspection;VFX591;PAINT
2017-03-09 07:49:52.000000;U-BOLT;YCR723;Rear U-Bolt
2017-03-09 07:51:41.183000;Hood Conveyor;YCU023;Hood Upload
2017-03-09 07:53:39.000000;U-BOLT;EBL860;Front U-Bolt
2017-03-09 07:53:50.197000;Cab call scan;QPC953;A Line
2017-03-09 07:53:59.260000;Cab in white conveyer;LES327;CIW upload
2017-03-09 07:54:57.660000;Cab Conveyer;OWH831;Cab Upload 2
2017-03-09 07:54:57.660000;Cab Conveyor / Monorail;OWH831;Cab Upload
2017-03-09 07:56:42.303000;Hood Conveyor;QLV652;Hood Upload
2017-03-09 07:57:10.810000;Cab Call Scan;ZKY831;B Line
2017-03-09 07:57:28.000000;STVMS Tracking Chassis Start;YZU059;Chassis Start
2017-03-09 07:57:32.000000;STVMS Tracking Chassis Start;FZA809;Chassis Start
2017-03-09 07:59:38.000000;U-BOLT;AHN391;Front U-Bolt
2017-03-09 08:00:44.313000;Hood Conveyor;ADQ781;Hood Upload
2017-03-09 08:00:53.593000;OMT Offline Tracking;BIP389;Enter Offline
2017-03-09 08:00:53.593000;OMT Offline Tracking;BIP389;Sold
2017-03-09 08:01:40.793000;Cab in white conveyer;RUK258;CIW upload
2017-03-09 08:03:17.277000;Cab Conveyer;SYA283;Cab Upload 2
2017-03-09 08:03:17.277000;Cab Conveyor / Monorail;SYA283;Cab Upload
2017-03-09 08:04:34.000000;U-BOLT;AHN391;Rear U-Bolt
2017-03-09 08:05:50.453000;Assembly Line Tracker;CSV482;Pool 13 Start
2017-03-09 08:05:51.040000;Assembly Line Tracker;TRJ645;Pool 13 Start
2017-03-09 08:07:09.000000;U-BOLT;KFN372;Front U-Bolt
2017-03-09 08:07:23.783000;Hood Conveyor;EQD264;Hood Upload
2017-03-09 08:07:54.800000;Cab call scan;PVZ436;A Line
2017-03-09 08:11:49.685774;Paint Inspection;OQS570;PAINT
2017-03-09 08:11:54.817000;Cab Call Scan;KNR831;B Line
2017-03-09 08:12:04.057000;OMT Offline Tracking;GDR742;Enter Offline
2017-03-09 08:13:29.000000;U-BOLT;KFN372;Rear U-Bolt
2017-03-09 08:13:57.000000;U-BOLT;DPH631;Front U-Bolt
2017-03-09 08:15:33.843000;Hood Conveyor;GJK683;Hood Upload
2017-03-09 08:15:50.480000;Assembly Line Tracker;NHZ581;Pool 13 Start
2017-03-09 08:16:22.790000;Cab in white conveyer;UZV267;CIW upload
2017-03-09 08:18:07.870000;Cab Conveyer;QPC953;Cab Upload 2
2017-03-09 08:18:07.870000;Cab Conveyor / Monorail;QPC953;Cab Upload
2017-03-09 08:19:19.499058;Paint Inspection;DPA037;PAINT
2017-03-09 08:19:58.000000;U-BOLT;DPH631;Rear U-Bolt
2017-03-09 08:19:59.000000;STVMS Tracking Chassis Start;APZ612;Chassis Start
2017-03-09 08:20:01.000000;STVMS Tracking Chassis Start;YWI795;Chassis Start
2017-03-09 08:20:04.000000;STVMS Tracking Chassis Start;EVB234;Chassis Start
2017-03-09 08:20:52.037000;Assembly Line Tracker;YZU059;Pool 13 Start
2017-03-09 08:22:49.270000;Cab call scan;VFR160;A Line
2017-03-09 08:23:34.000000;U-BOLT;MPO083;Front U-Bolt
2017-03-09 08:24:40.423000;Hood Conveyor;HMS840;Hood Upload
2017-03-09 08:25:17.290000;Cab Conveyer;PVZ436;Cab Upload 2
2017-03-09 08:25:17.290000;Cab Conveyor / Monorail;PVZ436;Cab Upload
2017-03-09 08:26:20.186954;Paint Inspection;EPR018;PAINT
2017-03-09 08:28:41.370000;Hood Conveyor;RBT219;Hood Upload
2017-03-09 08:29:44.933000;Cab in white conveyer;DIN812;CIW upload
2017-03-09 08:29:49.787000;OMT Offline Tracking;SPA495;Enter Offline
2017-03-09 08:30:50.530000;Assembly Line Tracker;FZA809;Pool 13 Start
2017-03-09 08:33:08.443000;OMT Offline Tracking;RAI572;Enter Offline
2017-03-09 08:35:54.503000;Cab Call Scan;SYV137;B Line
2017-03-09 08:36:12.890000;Cab in white conveyer;LWM061;CIW upload
2017-03-09 08:36:47.400000;Cab Conveyer;JKZ317;Cab Upload 2
2017-03-09 08:36:47.400000;Cab Conveyor / Monorail;JKZ317;Cab Upload
2017-03-09 08:37:32.000000;U-BOLT;SPI314;Front U-Bolt
2017-03-09 08:38:19.540000;Hood Conveyor;YXF326;Hood Upload
2017-03-09 08:38:42.863000;Cab call scan;AYO527;A Line
2017-03-09 08:40:06.000000;STVMS Tracking Chassis Start;QRM025;Chassis Start
2017-03-09 08:40:10.000000;STVMS Tracking Chassis Start;YCU023;Chassis Start
2017-03-09 08:40:13.000000;STVMS Tracking Chassis Start;QLV652;Chassis Start
2017-03-09 08:40:38.894459;Paint Inspection;GLW381;PAINT
2017-03-09 08:40:53.500000;Assembly Line Tracker;APZ612;Pool 13 Start
2017-03-09 08:41:41.927000;Cab Conveyer;ZKY831;Cab Upload 2
2017-03-09 08:41:41.927000;Cab Conveyor / Monorail;ZKY831;Cab Upload
2017-03-09 08:42:54.447000;Cab in white conveyer;XWS890;CIW upload
2017-03-09 08:45:47.597000;OMT Offline Tracking;LTV094;Enter Offline
2017-03-09 08:45:48.000000;U-BOLT;AGU058;Front U-Bolt
2017-03-09 08:45:50.510000;Assembly Line Tracker;YWI795;Pool 13 Start
2017-03-09 08:46:39.000000;U-BOLT;SPI314;Rear U-Bolt
2017-03-09 08:49:37.000000;STVMS Tracking Top Station;AHN391;Top Station
2017-03-09 08:49:49.000000;STVMS Tracking Top Station;YCR723;Top Station
2017-03-09 08:50:03.000000;STVMS Tracking Top Station;KFN372;Top Station
2017-03-09 08:50:14.000000;U-BOLT;AGU058;Rear U-Bolt
2017-03-09 08:50:17.000000;STVMS Tracking Top Station;DPH631;Top Station
2017-03-09 08:50:20.567000;Hood Conveyor;YKN950;Hood Upload
2017-03-09 08:50:23.000000;STVMS Tracking Top Station;MPO083;Top Station
2017-03-09 08:50:24.557000;Cab Call Scan;FTI824;B Line
2017-03-09 08:50:25.560000;Cab Conveyer;VFR160;Cab Upload 2
2017-03-09 08:50:25.560000;Cab Conveyor / Monorail;VFR160;Cab Upload
2017-03-09 08:50:29.000000;STVMS Tracking Top Station;LER634;Top Station
2017-03-09 08:50:34.000000;STVMS Tracking Top Station;SPI314;Top Station
2017-03-09 08:50:41.000000;STVMS Tracking Top Station;AGU058;Top Station
2017-03-09 08:50:50.713000;Assembly Line Tracker;AGU058;Pool 60 Start
2017-03-09 08:50:51.453000;Assembly Line Tracker;SPI314;Pool 60 Start
2017-03-09 08:50:52.000000;STVMS Tracking Top Station;QZH295;Top Station
2017-03-09 08:50:52.273000;Assembly Line Tracker;LER634;Pool 60 Start
2017-03-09 08:50:53.057000;Assembly Line Tracker;QZH295;Pool 60 Start
2017-03-09 08:50:54.393000;Assembly Line Tracker;MPO083;Pool 60 Start
2017-03-09 08:50:55.070000;Assembly Line Tracker;DPH631;Pool 60 Start
2017-03-09 08:50:55.747000;Assembly Line Tracker;KFN372;Pool 60 Start
2017-03-09 08:50:56.000000;STVMS Tracking Top Station;SEK173;Top Station
